num,id1,id2,true_ans,predicted
80,3892,12746,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
81,29971,28756,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
82,38716,12918,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
83,16748,38863,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
84,26061,39741,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
85,3963,12917,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
86,28597,34852,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
87,26489,39570,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
88,27058,26018,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
89,45022,28957,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
90,16974,28607,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
91,29662,34600,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
92,38662,16909,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
93,28588,16627,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
94,26099,8145,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
95,27058,45299,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
96,26175,12831,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
97,34867,34795,"tensor([1.], device='cuda:0')","tensor([1.], device='cuda:0')"
98,8119,34757,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
99,34919,29933,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
100,9782,26125,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
101,3510,29862,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
102,9431,49867,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
103,29564,45188,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
104,39706,8442,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
105,49856,45332,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
106,16613,9079,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
107,28642,27180,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
108,39652,26311,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
109,34739,29807,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
110,49583,9886,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
111,28704,45223,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
112,9386,9927,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
113,38959,27057,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
114,39730,38570,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
115,45443,9304,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
116,8221,29802,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
117,28854,16864,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
118,9510,38939,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
119,38896,29906,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
120,38695,12732,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
121,49759,9265,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
122,28658,26081,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
123,9391,8205,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
124,28822,34561,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
125,26248,29658,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
126,9847,9012,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
127,27192,26218,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
128,16707,9468,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
129,9239,3688,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
130,3583,9500,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
131,16949,26384,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
132,28751,34793,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
133,39901,29767,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
134,39565,9651,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
135,39539,12646,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
136,26416,8400,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
137,29504,34973,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
138,28639,29528,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
139,49796,45251,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
140,45252,26032,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
141,38578,8466,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
142,49775,27247,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
143,49694,8134,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
144,3947,9172,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
145,29949,49681,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
146,39683,29875,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
147,12598,26315,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
148,28508,12533,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
149,12514,45303,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
150,16723,28790,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
151,38712,34904,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
152,26408,26115,"tensor([1.], device='cuda:0')","tensor([1.], device='cuda:0')"
153,3681,34752,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
154,9120,12703,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
155,16642,45165,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
156,39858,27463,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
157,28695,12597,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
158,45462,38845,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
159,39529,39732,"tensor([1.], device='cuda:0')","tensor([1.], device='cuda:0')"
160,49971,9391,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
161,29739,27414,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
162,9401,34979,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
163,29771,12664,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
164,9321,8026,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
165,3556,29676,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
166,29511,16992,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
167,34522,26264,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
168,3956,39590,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
169,9243,27138,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
170,27393,12774,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
171,34753,12984,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
172,3821,8409,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
173,39998,12787,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
174,34748,26448,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
175,28765,39812,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
176,26016,39740,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
177,3773,12865,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
178,9607,12816,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
179,9097,28682,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
180,39925,12992,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
181,16548,39764,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
182,29694,9856,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
183,27073,8444,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
184,3521,26248,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
185,9009,49863,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
186,34504,16792,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
187,49805,28934,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
188,28833,9404,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
189,39704,8091,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
190,3762,49576,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
191,8278,34999,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
192,9955,27181,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
193,26005,27066,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
194,27232,39829,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
195,39991,8001,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
196,3988,8477,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
197,9189,8489,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
198,27283,9398,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
199,49663,45226,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
200,27089,49652,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
201,29759,29582,"tensor([1.], device='cuda:0')","tensor([1.], device='cuda:0')"
202,34858,9851,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
203,3837,12749,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
204,12709,12632,"tensor([1.], device='cuda:0')","tensor([1.], device='cuda:0')"
205,3523,49923,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
206,26066,9522,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
207,29662,16744,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
208,9538,8168,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
209,39909,49628,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
210,16975,12780,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
211,12710,9566,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
212,12542,9543,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
213,12653,26351,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
214,12771,9217,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
215,26460,29882,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
216,39722,28930,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
217,27256,45372,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
218,26387,38872,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
219,12861,12593,"tensor([1.], device='cuda:0')","tensor([1.], device='cuda:0')"
220,26011,39624,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
221,26221,26295,"tensor([1.], device='cuda:0')","tensor([1.], device='cuda:0')"
222,3766,12835,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
223,39983,45334,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
224,9347,49707,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
225,28868,16893,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
226,27353,26208,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
227,9514,45160,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
228,29687,38768,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
229,16953,9873,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
230,9176,28677,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
231,27432,45328,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
232,28815,39892,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
233,8012,28988,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
234,12655,9919,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
235,16970,29857,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
236,26193,34888,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
237,8016,28972,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
238,29691,9444,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
239,12841,8190,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
240,9272,9735,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
241,27186,27137,"tensor([1.], device='cuda:0')","tensor([1.], device='cuda:0')"
242,16567,29913,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
243,27034,9196,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
244,12980,49608,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
245,45215,29714,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
246,28935,9391,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
247,27249,16628,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
248,29878,27333,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
249,12838,3674,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
250,26335,34517,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
251,12624,38792,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
252,8065,26158,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
253,12589,8448,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
254,28771,38701,"tensor([0.], device='cuda:0')","tensor([1.], device='cuda:0')"
255,34946,26326,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
256,9025,26151,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
257,16547,9287,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
258,16503,9659,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
259,27313,45236,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
260,29659,12713,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
261,9758,38709,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
262,9557,26409,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
263,3511,49937,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
264,26274,12531,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
265,26451,26118,"tensor([1.], device='cuda:0')","tensor([1.], device='cuda:0')"
266,34986,3576,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
267,45041,49781,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
268,3743,26448,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
269,38899,29566,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
270,28855,39503,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
271,9994,38888,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
272,26107,16676,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
273,49858,12901,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
274,8379,12676,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
275,27138,12884,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
276,29768,9026,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
277,45408,8348,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
278,38971,29635,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
279,45168,27284,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
280,26279,34993,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
281,8245,9547,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
282,29813,9511,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
283,27476,39541,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
284,9356,26161,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
285,9418,9933,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
286,28884,16595,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
287,45098,38657,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
288,49808,12966,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
289,34919,38817,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
290,26242,26240,"tensor([1.], device='cuda:0')","tensor([1.], device='cuda:0')"
291,26261,34997,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
292,29682,3815,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
293,38696,49838,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
294,49762,34676,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
295,39858,16869,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
296,45198,26378,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
297,26208,29772,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
298,27162,27413,"tensor([1.], device='cuda:0')","tensor([1.], device='cuda:0')"
299,8239,9389,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
300,8285,3627,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
301,16746,29818,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
302,27034,39990,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
303,26123,28574,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
304,9198,9337,"tensor([1.], device='cuda:0')","tensor([1.], device='cuda:0')"
305,27489,3747,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
306,16839,39728,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
307,8361,8304,"tensor([1.], device='cuda:0')","tensor([1.], device='cuda:0')"
308,39797,49645,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
309,28526,12909,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
310,12700,9184,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
311,28793,12506,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
312,49977,38786,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
313,16623,38768,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
314,9922,29959,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
315,45003,9001,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
316,27434,49756,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
317,26475,49853,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
318,8405,26223,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
319,3576,8491,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
320,12966,38555,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
321,34827,8422,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
322,34514,27067,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
323,49552,34637,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
324,8322,8482,"tensor([1.], device='cuda:0')","tensor([0.], device='cuda:0')"
325,26277,29820,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
326,49515,9794,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
327,45447,3721,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
328,3717,29693,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
329,29598,16540,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
330,38575,28662,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
331,9686,34672,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
